Dep_Code;Dep_Name;VAT_Registration_No;KPP;City2;Owner_Name;Post_Code;City;Street;Building;Building2;Litera;Quarter;District;Region_Code;Number;Country_Code;Vehicle_No;Shipping_Agent_Code
1000;ООО "Интелтрейд TK";7710892100;771001001;;;127006;Москва;Садовая-Триумфальная;4-10;;;;;77;1;643;;
ART ALL;Art Alliance LTD (UK);6095483000;609548300;;Art Alliance LTD (UK);;Лондон;Queen Anne Street;48;;;;;;2;826;;
B001;Бар (общей площадью 168.07 кв.м.);5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;3;643;;
B002;Бар (общей площадью 168.07 кв.м.);5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;4;643;;
DME;ОСП ЗАО "АРИАЛ";5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;5;643;Е 724 НЕ 177;1
ER;Ереванский коньячный завод;01802388;;;Ереванский коньячный завод;;Ереван;пр. Адмирала Исакова;2;;;;;;6;051;;
I_SUP076;ООО Старый Мастер-НВ;7714688900;771401001;;;;;;;;;;;;25;643;;
I_SUP077;ООО "Кристалл-Вест";7714252581;772201001;;;109029;Москва;Скотопрогонная;35;2;;;;77;20;643;;
I_SUP099;ООО "КАСКАД ЛОГИСТИК";7720695292;772001001;;;111672;Москва;Салтыковская;26;2;;;;77;19;643;;
I_SUP110;ЗАО "ТД Белое Золото";7730572846;773101001;;;121354;Москва;Дорогобужская;14;;;;;77;16;643;;
I_SUP135;ООО "ВЕДК";7710754069;504845004;с.п. Баранцевское;;142322;Чеховский район;;;5;;;Московская область;77;18;643;;
I_SUP145;ООО "Маруся Бевереджис РУС";7705667950;770201001;;;107031;Москва;Звонарский переулок;7;1;;;;77;17;643;;
I_SUP162;ООО "Ф.Партнерс";7717709065;503245001;;;143041;Одинцовский р-он;;;;;;Московская область;77;21;643;;
I_SUP235;ООО "ГК Кристалл-Лефортово";5003089091;500301001;;ООО "ГК Кристалл-Лефортово";142714;;;;;;;Московская область;77;27;643;;
I_SUP240;ООО "Юпитер";7327050884;732701001;;;141013;;;;;;;Московская область;50;26;643;;
I_SUP300;ООО"Хорека ТрейдСервис";7721777572;772101001;;;;;;;;;;;;22;643;;
I_SUP392;ООО "Интел МСК";7721834823;772101001;;;109377;Москва;;;;;;;50;29;643;;
I_SUP399;ООО Аль-Трейд;7716516350;502945002;;;129226;;;;;;;;77;31;643;;
O_SUP525;MD GURMEX LTD;;;;;;PA RG7 8;Vulcan House Calleva Park;6A;;;;United Kingdom;;23;643;;
O_SUP664;AIR Affinity Limited;;;;AIR Affinity Limited;;London W4 3HR;Sutton Court Road 188-192;Studio G3;;;;United Kingdom;;24;826;;
O_SUP665;Hibway Ltd. t/a Saffron Supply Services;;;;Hibway Ltd. t/a Saffon Supply Services;;Dublin 2;Connaughton Sons, Grand Canal Quay;;;;;;;30;372;;
O_SUP667;ARCOROS Inc.;;;;ARCOROS Inc.;;Montreal;bureau 910;;;;; Rene-Levesque ouest;;32;124;;
O_SUP668;Ashford Handels GmbH;5009043336;500901001;;Ashford Handels GmbH;;Moenchengladbach;;;;;;Holunderweg;;33;276;;
O_SUP669;Best Wine Corporation;5009043336;500901001;;Best Wine Corporation;;Varibe Building;First floor offis 105;;;;;;;34;591;;
OVB;ОСП ЗАО "АРИАЛ";5009043336;544845001;аэропорт "Толмачево";ЗАО "АРИАЛ";633102;Обь;;;;;;Новосибирская обл.;54;7;643;ЕА 6838 23;1
S002;Магазин (106 кв.м.);5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;8;643;;
S004;Магазин Runway V.I.P. DME;5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;9;643;;
S007;Магазин Runway Gourmet DME;5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;10;643;;
S010;Магазин (общей полщадью 115 кв.м.);5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;11;643;;
S104;Магазин Runway Club SVO;5009043336;504732001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;12;643;;
SVO;ОСП ЗАО "АРИАЛ";5009043336;504732001;аэропорт "Шереметьево";ЗАО "АРИАЛ";141400;Химки;;;;;;;50;13;643;P 086 XB 197;1
WH006;ЗАО "АРИАЛ";5009043336;500901001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;14;643;;
WH101;Подсобка мазазина 160 кв.м. SVO DF;5009043336;504732001;аэропорт "Домодедово";ЗАО "АРИАЛ";142015;Домодедовский район;;;;;;Московская область;50;15;643;;
WH112;Склад "Евразия";5009043336;500901002;Северный мкр.;ЗАО "АРИАЛ";142015;Домодедово;Логистическая;1/6;;;;Московская область;50;28;643;;
