Country_Code;Country_Name;EU_Country_Code;Intrastat_Code;Addr_Format;Contact_Addr_Format;Local_Name;Aerofirst_Code
AE;Объединенные Арабские Эмираты;784;;1;1;;20187192
AI;Ангилья;660;;1;1;;660
AL;Албания;008;;1;1;;
AM;Армения;051;;1;1;;26728388
AR;Аргентина;032;;1;1;;10906632
AT;Австрия;040;AT;0;1;;10907595
AU;Австралия;036;;2;1;;
AUS;;;;1;1;;
AZ;Азербаджан;031;;1;1;;
BA;Босния и Герцеговина;080;;1;1;;21453021
BB;Барбадос;052;;1;1;;052
BD;Народная Республика Бангладеш;050;;1;1;;050
BE;Бельгия;056;BL;0;1;Belgium;10904832
BG;Болгария;100;;2;1;;10902775
BH;Бахрейн;048;;1;1;;171
BL;Беларусь;112;;1;2;;112
BR;Бразилия;076;;1;0;;10904841
BS;Багамы;044;;1;1;;10907685
CA;Канада;124;;1;1;;10904822
CH;Швейцария;756;;0;1;;
CHN;;;;1;1;;
CL;Чили;152;;1;1;;
CN;Китай;156;;1;1;;156
CU;Куба;192;;1;1;;10906643
CZ;Чехия, Чешская Республика;203;;0;1;;
DE;Германия;276;DE;0;1;;10902776
DK;Дания;208;DK;0;1;;10909248
DN;Дания;;;1;1;;
DO;Доминиканская Республика;214;;1;1;;10909175
EC;Эквадор;218;;1;1;;
EG;Египет;818;;1;1;;12968996
ES;Испания;724;ES;0;1;;10904811
ET;Эстония;233;;0;1;;
EU;Европейский союз;;;1;1;;
FDR;;;;1;1;;
FN;Финляндия;246;;1;1;;10929737
FR;Франция;250;FR;0;1;;
GB;Великобритания;826;GB;1;1;;41197681
GE;Грузия;268;;1;1;;
GR;Греция;300;;1;1;;10907663
GT;Гватемала;320;;1;1;;28557533
GY;Гайана;328;;1;1;;
HK;Гонконг;344;;1;1;;
HN;Гондурас;340;;1;1;;
HR;Хорватия;191;;1;1;;
HU;Венгрия;348;;1;1;;10904844
ID;Индонезия;360;;0;1;;360
IE;Ирландия;372;;1;1;;10906630
IN;Индия;356;;1;0;;10929879
IR;Иран;364;;1;1;Iran;
IS;Исландия;352;;0;1;;
IT;Италия;380;IT;0;1;;10904812
IZ;Израиль;376;;1;1;;12990746
JM;Ямайка;388;;1;1;;
JO;Иордания;400;;1;1;;10904848
JP;Япония;392;;1;1;;
KH;Камбоджа;116;;1;1;;150
KR;Корея;410;;1;1;;10929767
KZ;Казахстан;398;;0;1;;
LK;Шри-Ланка;144;;1;1;;
LT;Литва;440;;0;1;;10902797
LU;Люксембург;442;;1;1;;
LV;Латвия;428;;0;1;;
MA;Марокко;504;;1;1;;10902795
MC;Монако;492;;1;1;;10929709
MD;Молдова;498;;1;1;Moldova;498
MG;Мадагаскар;450;;1;1;;22493802
MK;Республика Македония;807;;1;1;;23062150
MR;Мавритания;478;;1;1;;
MU;Маврикий;480;;1;1;;10904852
MX;Мексика;484;;2;1;;10906639
MY;Малазия;458;;0;1;;10929930
NE;Нигер;562;;1;1;;
NI;Никарагуа;558;;1;1;;29239825
NL;Нидерланды;528;NL;0;1;;10907664
NO;Норвегия;578;;0;1;;
NP;Непал;524;;1;1;;14080749
NTH;Нидерланды;;;1;1;;
NZ;Новая Зеландия;554;;1;1;;10902792
OM;Оман;512;;1;1;;512
PE;Перу;604;;1;1;;
PH;Филипины;608;;1;1;;
PK;Пакистан;586;;1;1;;586
PL;Польша;616;;0;1;;10904834
PN;Панама;591;;1;1;;
PR;Пуэрто-Рико;630;;1;1;;22245083
PT;Португалия;620;PT;0;1;;10904838
RC;;;;1;1;;
RO;Румыния;642;;1;1;;10902791
RS;Сербия;688;;1;1;;12313409
RU;Россия;643;;1;2;;
SA;ЮАР;;;1;1;;
SE;Швеция;752;SE;0;1;;
SG;Сингапур;702;;1;1;;
SI;Словения;705;;0;1;;
SK;Словакия;703;;1;1;;
SL;Словакия;;;1;1;;
SV;Эль-Сальвадор;222;;1;1;;
SWIZ;;;;1;1;;
SY;Сирийская Арабская Республика;760;;1;1;;
TAI;;;;1;1;;
TAY;;;;1;1;;
TG;Того;768;;1;1;;
TH;Тайланд;764;;0;1;;
TJ;Таджикистан;762;;1;1;;
TN;Тунис;788;;1;1;;
TR;Турция;792;;0;0;;
TW;Тайвань;158;;1;1;;
UA;Украина;804;;0;1;;
UG;Уругвай;858;;1;1;;
UM;Малые Тихоокеанские острова Соединённых Штатов;581;;1;1;;
US;США;840;;2;1;;
UZ;Узбекистан;860;;1;1;;
VN;Вьетнам;704;;1;1;;704
ZA;Южная Африканская Республика;710;;1;0;;
ZB;Зимбабве;716;;1;1;;
СY;Кипр;196;;1;1;;12514820
