Code;Price Includes VAT;Allow Invoice Disc_;VAT Bus_ Posting Gr_ (Price);Descript;Allow Line Disc_;Currency Code;Profit;Profit Type;Linked Price Group;Linked Difference;Linked Difference Type;Rounding Method Code;Trade Extra Charge %;Tax Area Code;Accounting Price;Store Group;Default Priority;Retail Price Group
NO PRICE;1;1;;NO PRICE;1;;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;0
OVB RE_USD;1;1;РОЗНИЦА;Розничный прайслист OVB;1;USD;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
OVB RETAIL;1;1;РОЗНИЦА;Розничный прайслист OVB;1;;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
OVB RUB;1;1;DUTY-PAID;Розничный Прайслист OVB (RUB);1;RUB;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
RETAIL;1;1;РОЗНИЦА;Розничный Прайслист DM;1;;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
RETAIL_CH;1;1;РОЗНИЦА;Розничный Прайслист DM CHANEL;1;USD;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
RETAIL_USD;1;1;РОЗНИЦА;Розничный Прайслист DM;1;USD;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SPB RE_USD;1;1;РОЗНИЦА;Розничный Прайслист SPB;1;USD;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SPB RETAIL;1;1;РОЗНИЦА;Розничный Прайслист SPB;1;;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SPB RUB;1;1;DUTY-PAID;Розничный Прайслист SPB (RUB);1;RUB;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SVO RE_USD;1;1;РОЗНИЦА;Розничный Прайслист SVO;1;USD;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SVO RETAIL;1;1;РОЗНИЦА;Розничный Прайслист SVO;1;;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SVO RUB;1;1;РОЗНИЦА;Розничный Прайслист SVO (RUB);1;RUB;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
SVO RUB DF;1;1;РОЗНИЦА;DF Прайслист SVO (RUB);1;RUB;0.00000000000000000000;0;;0.00000000000000000000;0;;0.00000000000000000000;;0;;0;1
