Unit_Code;Descript
1/2 охмрш;
BOX;BOX
BOX 6;BOX 6
CASE;case
SGL;SGL
SGL 0,25;
SGL 0,3;
SGL 0,35;
SGL 0,5;
SGL 0,7;
SGL 0,75;
асршкйю;
йц;
йецю;йецю
йецю 20;йецю 20 К
йецю 30;йецю 30 К
к;кХРП
лк;
охмрю;
онпж 0,005;
онпж 0,02;
онпж 0,03;
онпж 0,04;
онпж 0,05;
онпж 0,06;
онпж 0,07;
онпж 0,15;
онпж 0,25;
онпж 0,33;
онпж 0,55;
онпжхъ;ОНПЖ
онпжхъ 0,1;
онпжхъ 0,2;
онпжхъ 0,3;
онпжхъ 0,4;
онпжхъ 0,5;
онпжхъ 0,7;
онпжхъ 150;
онпжхъ 175;
онпжхъ 25;
онпжхъ 3;ОНПЖХЪ 3К
онпжхъ 40;
онпжхъ 44ц;
онпжхъ 50ц;
ярюйюм;
ьр;
ьр 0,3;
ьр 0,7;
ьр0,75;
