PLU;PRICE
500068;140,00
500069;250,00
500071;300,00
500072;250,00
500143;200,00
500162;50,00
500266;200,00
500277;200,00
500354;60,00
500404;350,00
500463;510,00
500465;480,00
500576;320,00
500593;290,00
500594;290,00
500597;290,00
500598;290,00
500606;180,00
500611;120,00
500644;200,00
500645;300,00
500659;150,00
500666;230,00
500789;550,00
500810;1000,00
500850;540,00
500854;50,00
500855;50,00
500856;50,00
500857;380,00
500858;450,00
500860;230,00
500863;50,00
500864;30,00
500865;30,00
500875;430,00
500878;50,00
500882;430,00
500896;430,00
500920;430,00
500927;50,00
500930;180,00
500940;280,00
500941;280,00
500942;330,00
500943;420,00
500944;330,00
500945;250,00
500946;300,00
500947;330,00
500962;450,00
500980;595,00
500999;450,00
501001;120,00
501002;390,00
501005;110,00
501008;650,00
501013;200,00
501014;200,00
501015;200,00
501019;280,00
501020;360,00
501034;280,00
501036;280,00
501037;250,00
501039;1200,00
501048;350,00
501049;750,00
501060;250,00
501066;350,00
501069;200,00
501070;200,00
501071;200,00
501072;480,00
