CURRENCY_ID_USD;CURRENCY_ID_EUR;CURRENCY_ID_RUR;NAME;MNEMO;NOCASH;BLOCKED
10972240;10972240;;ESP;;0;1
10972241;10972241;;IEP;;0;1
10972242;10972242;;NLG;;0;1
11366517;11366517;;Swiss air charges;RUR;1;1
10907003;10907003;;Австралийский доллар;AUD;0;1
10902764;10902764;;Американский доллар;USD;0;1
10907007;10907007;;Английский фунт;GBP;0;1
10963162;10963162;;Ваучер Air France PC RUR;RUR;1;1
10907041;10907041;;Ваучер Czech airlines;USD;1;1
10907006;10907006;;Датская крона;DKK;0;1
10907023;10907023;;Дорожные чеки EUR;EUR;0;1
10907022;10907022;;Дорожные чеки RUR;RUR;0;1
10907029;10907029;;Дорожные чеки SEK;SEK;0;1
10907024;10907024;;Дорожные чеки USD;USD;0;1
10902802;10902802;;Евро;EUR;0;1
10908976;10908976;;Канадский доллар;CAD;0;1
44669521;44669521;;КК MASTER CARD RUR (-10);RUR;1;1
10907019;10907019;10900141;Кред. карта AMERICAN EXPRESS RUR;RUR;1;1
10948997;10948997;14146360;Кред. карта CUP;RUR;1;1
10907020;10907020;10900142;Кред. карта DINERS CLUB RUR;RUR;1;1
10907021;10907021;10900143;Кред. карта JCB RUR;RUR;1;1
10907017;10907017;10819681;Кред. карта MASTER CARD RUR;RUR;1;1
10907016;10907016;1142325;Кред. карта VISA RUR;RUR;1;1
10907013;10907013;10906643;Наличные EUR;EUR;0;1
10907030;10907030;;Наличные GBP;GBP;0;1
10907026;10907026;;Наличные JPY;JPY;0;1
10907015;10907015;10815753;Наличные RUR;RUR;0;1
10907028;10907028;;Наличные SEK;SEK;0;1
10908994;10908994;15834483;Наличные SWF;CHF;0;1
10907012;10907012;10906644;Наличные USD;USD;0;1
10907009;10907009;;Норвежская крона;NOK;0;1
10902763;10902763;;Российский рубль;RUR;0;1
10907011;10907011;;Сингапурский доллар;SGD;0;1
10907025;10907025;11275685;Служебный счет;EUR;1;1
10907010;10907010;;Шведская крона;SEK;0;1
10907005;10907005;;Швейцарский франк;CHF;0;1
10907008;10907008;;Японская йена;JPY;0;1
;;13507035;Ваучер Эр.Италия;;1;1
;;11269427;Ваучер;;1;1
;;11269444;Ваучер Малев;;1;1
;;11269448;Ваучер Сайпрус Эрвейз Лимитед;;1;1
;;11269451;Ваучер Олимпийские авиалинии;;1;1
;;11269453;Ваучер Аэрофлот;;1;1
;;11269457;Ваучер Финн Эр;;1;1
;;11269463;Ваучер Дойче Люфтганза АГ;;1;1
;;11269464;Ваучер Эр Франс;;1;1
;;11269474;Ваучер Скандинавиан Эрлайнз Систем;;1;1
;;11269483;Ваучер Чешские аэролинии;;1;1
;;11270507;Ваучер KLM;;1;1
45126533;;16223957;ПРО100;RUR;1;1
